question,reference_answer,line_number_start,line_number_end,question_type,doc_id,section,source_question
Jupyter keeps spinning after I port-forwarded from VS Code. Is there another way to forward the port to localhost?,"Try to forward the port using SSH CLI instead of VS Code. Run the following command: `ssh -L <local port>:<VM host/ip>:<VM port> <ssh hostname>`. `ssh hostname` is the name you specified in the `~/.ssh/config` file. For example, in case of Jupyter Notebook, run `ssh -L 8888:localhost:8888 gcp-vm` from your local machine’s CLI.",1,17,stuck_participant,05dc43cda8,Module 6: Spark,Jupyter Notebook or SparkUI not loading properly at localhost after port forwarding from VS code?
What exact ssh command should I use for Jupyter on port 8888?,"For example, in case of Jupyter Notebook, run `ssh -L 8888:localhost:8888 gcp-vm` from your local machine’s CLI.",11,17,stuck_participant,05dc43cda8,Module 6: Spark,Jupyter Notebook or SparkUI not loading properly at localhost after port forwarding from VS code?
My Spark session seems to start on 4040 but then localhost doesn't load. Is there something I should check?,"While creating the Spark session, check the block's log because sometimes it fails to run at 4040 and switches to 4041.",19,19,stuck_participant,05dc43cda8,Module 6: Spark,Jupyter Notebook or SparkUI not loading properly at localhost after port forwarding from VS code?
"If I log out, does the port forwarding break right away?","If you logout from the session, the connection would break.",19,19,course_logistics,05dc43cda8,Module 6: Spark,Jupyter Notebook or SparkUI not loading properly at localhost after port forwarding from VS code?
Can I just put all the port forwarding settings in my ssh config so I don't have to keep doing it manually?,"If you are having trouble accessing localhost ports from a GCP VM, consider adding the forwarding instructions to the `.ssh/config` file as follows: `Host <hostname>  Hostname <external-gcp-ip>  User xxxx  IdentityFile yyyy  LocalForward 8888 localhost:8888  LocalForward 8080 localhost:8080  LocalForward 5432 localhost:5432  LocalForward 4040 localhost:4040`. This should automatically forward all ports and will enable accessing localhost ports.",21,34,course_logistics,05dc43cda8,Module 6: Spark,Jupyter Notebook or SparkUI not loading properly at localhost after port forwarding from VS code?
I'm getting `curl: (6) Could not resolve host: output.csv` when I try to download the taxi data. What am I doing wrong?,"Use `os.system(f""curl {url} --output {csv_name}"")` to download the file, making sure `output.csv` is passed as the output filename after `--output` rather than being treated like a host.",2,2,stuck_participant,48cae101d6,Module 1: Taxi Data (download & handling),CURL: curl: (6) Could not resolve host: output.csv
My download command is treating `output.csv` like a URL and failing with a host resolution error. How should the curl command be written?,"Use `os.system(f""curl {url} --output {csv_name}"")` to download the file, making sure `output.csv` is passed as the output filename after `--output` rather than being treated like a host.",2,2,stuck_participant,48cae101d6,Module 1: Taxi Data (download & handling),CURL: curl: (6) Could not resolve host: output.csv
I copied the curl example but it still says it can't resolve `output.csv`. Is the output file supposed to go somewhere else in the command?,"Use `os.system(f""curl {url} --output {csv_name}"")` to download the file, making sure `output.csv` is passed as the output filename after `--output` rather than being treated like a host.",2,2,stuck_participant,48cae101d6,Module 1: Taxi Data (download & handling),CURL: curl: (6) Could not resolve host: output.csv
"When I run the taxi data download, curl thinks `output.csv` is the host. What's the correct syntax for saving the file?","Use `os.system(f""curl {url} --output {csv_name}"")` to download the file, making sure `output.csv` is passed as the output filename after `--output` rather than being treated like a host.",2,2,stuck_participant,48cae101d6,Module 1: Taxi Data (download & handling),CURL: curl: (6) Could not resolve host: output.csv
"The module says to download a CSV, but my command is broken and mentions `Could not resolve host: output.csv`. What command should I use?","Use `os.system(f""curl {url} --output {csv_name}"")` to download the file, making sure `output.csv` is passed as the output filename after `--output` rather than being treated like a host.",2,2,stuck_participant,48cae101d6,Module 1: Taxi Data (download & handling),CURL: curl: (6) Could not resolve host: output.csv
